,Treatment,TPT,QTavg,QTavg,QTc,QTc
,,,mean,std,mean,std
0,Dofetilide,-0.5,0.32121043468316196,0.021252949641625607,0.3106913019498443,0.023050973239991904
1,Dofetilide,0.5,0.31959154313699767,0.02268831122990618,0.3118898279667266,0.02552831470236374
2,Dofetilide,1.0,0.3337191159009341,0.02776987546448454,0.32257486696167414,0.026340293225167902
3,Dofetilide,1.5,0.34587679694043333,0.02800756688953613,0.3358825974748679,0.02533981241768799
4,Dofetilide,2.0,0.3529762161659889,0.03007507487952169,0.34616202539013213,0.02838900017385956
5,Dofetilide,2.5,0.3453961540143358,0.033717093575053106,0.352682781432375,0.034515084511225584
6,Dofetilide,3.0,0.3423618638516366,0.03046103260236497,0.3489871695074696,0.03009187147014004
7,Dofetilide,3.5,0.3356308818706546,0.026339570461823978,0.3436431548491445,0.030316306342599693
8,Dofetilide,4.0,0.3333645297043024,0.027024033585746822,0.34128909785250916,0.030299410131705246
9,Dofetilide,5.0,0.32934247957429774,0.029161208311136416,0.3345655564639413,0.02883449437699174
10,Dofetilide,6.0,0.3168565190701554,0.0263295262613111,0.33415009847142046,0.031070487436136468
11,Dofetilide,7.0,0.31856436433936436,0.026585748673192158,0.3324566124671448,0.031532774830670275
12,Dofetilide,8.0,0.3156608637154092,0.028903388860724168,0.3307083772481017,0.031101724030662022
13,Dofetilide,12.0,0.3068762556887557,0.020449685245075483,0.3198813920686484,0.026473577573781965
14,Dofetilide,14.0,0.30677103052671234,0.021274909547172302,0.3171898435916933,0.02345713144685469
15,Dofetilide,24.0,0.3118124103169558,0.021410061060013842,0.3159276709038395,0.02331359703562184
16,Placebo,-0.5,0.31670980227684775,0.02324933884929612,0.3119965838638147,0.024927812421124067
17,Placebo,0.5,0.3137550084175084,0.02067744505920923,0.30835449993770464,0.02479105253634949
18,Placebo,1.0,0.3148034392375301,0.020646012561152432,0.3082922679460163,0.02399067725077235
19,Placebo,1.5,0.3145153702778703,0.02074161450878064,0.30934375093734,0.022999899178831443
20,Placebo,2.0,0.3112168197122742,0.020924336861647682,0.3118611932748047,0.023612444185649624
21,Placebo,2.5,0.2995945345058981,0.021057466281410128,0.3110078678721838,0.02387780254101759
22,Placebo,3.0,0.2969822653777199,0.020837991837255224,0.3099572921451909,0.025317582599597863
23,Placebo,3.5,0.29443338025610755,0.01631830771420167,0.3099914543249118,0.025469441667985166
24,Placebo,4.0,0.2968853991126718,0.019418988029096602,0.31062399576727856,0.024789494471348872
25,Placebo,5.0,0.2956528529971712,0.018454452863914207,0.3065399631935168,0.023744652421678163
26,Placebo,6.0,0.2917649889252162,0.020905490427968895,0.31217320365934953,0.02563946351574247
27,Placebo,7.0,0.2969963254338254,0.021142718992362596,0.3122001903619411,0.025300244881276825
28,Placebo,8.0,0.2927149024796752,0.023137457011928656,0.30956270417739956,0.02518700303061811
29,Placebo,12.0,0.29489852504397956,0.017386991133772442,0.31053085350382065,0.024689736696949294
30,Placebo,14.0,0.29584752688389054,0.019343106941372205,0.30866729886019206,0.026649073185209756
31,Placebo,24.0,0.30686677888609704,0.02240687286380838,0.3099795494329858,0.025417432302924273
32,Quinidine Sulph,-0.5,0.3213308868380297,0.0210057356789737,0.312715123899822,0.024023224108417847
33,Quinidine Sulph,0.5,0.32354390063199584,0.029027188171369497,0.3269584749055697,0.031741227057548865
34,Quinidine Sulph,1.0,0.3322073244216101,0.03841703775846615,0.3459493438497333,0.03939055299337931
35,Quinidine Sulph,1.5,0.334746822445632,0.028531814387887287,0.35182184052252297,0.0360130872138121
36,Quinidine Sulph,2.0,0.3303756362684934,0.0369129440840532,0.3512787349988983,0.04576629236132517
37,Quinidine Sulph,2.5,0.32366241721241723,0.03817213669469469,0.3489464484309136,0.04685053126848955
38,Quinidine Sulph,3.0,0.3174174410245839,0.03821443871634219,0.3409393328656179,0.04579570140996184
39,Quinidine Sulph,3.5,0.3136737291588482,0.02925379243440116,0.3383506924678988,0.035947688139908986
40,Quinidine Sulph,4.0,0.3147213390665772,0.03052701909965856,0.33674221010788663,0.039796809208723714
41,Quinidine Sulph,5.0,0.3156776118061832,0.024636114434604027,0.3341478764183308,0.029933354099437638
42,Quinidine Sulph,6.0,0.3055379435379435,0.03144141044428884,0.3362732532276767,0.03491871789813421
43,Quinidine Sulph,7.0,0.3071449041478803,0.027471361602889738,0.32950334212537447,0.03316554705993061
44,Quinidine Sulph,8.0,0.30928901017412924,0.028045265936924482,0.3301129200300948,0.030703728750135755
45,Quinidine Sulph,12.0,0.30654105264224313,0.022437815256830425,0.3214608367336536,0.027976492890769804
46,Quinidine Sulph,14.0,0.306969651336318,0.02589378634622886,0.32068088881842605,0.030269637641427493
47,Quinidine Sulph,24.0,0.31288458662149143,0.021103971955132774,0.32078381620011187,0.025161956037189258
48,Ranolazine,-0.5,0.3224357284970921,0.022281398253899153,0.31344688167361573,0.024785963991610552
49,Ranolazine,0.5,0.3163737253487253,0.020532821106358314,0.3091251180667152,0.02399087714277077
50,Ranolazine,1.0,0.31416293617998164,0.022669538593358525,0.3083129252784314,0.027113870503562253
51,Ranolazine,1.5,0.31641809381695746,0.02139492018931227,0.31315752620830767,0.025074265937931623
52,Ranolazine,2.0,0.31150463286713287,0.020739294200024683,0.3157265284075667,0.027343831229778317
53,Ranolazine,2.5,0.29971213063031243,0.022602382580496367,0.3134060348263101,0.028250890577819418
54,Ranolazine,3.0,0.29775202999862094,0.020181066645360027,0.311639592846853,0.030175168294554588
55,Ranolazine,3.5,0.2978676022630568,0.020763643867581633,0.3140955466588815,0.02896852483563075
56,Ranolazine,4.0,0.29499399754286115,0.018626427722411337,0.3125334024701386,0.026712431856378362
57,Ranolazine,5.0,0.30005892558619834,0.02074069040711989,0.31210605714484246,0.029825943981597092
58,Ranolazine,6.0,0.28827184444343534,0.02329702733705835,0.3142256678812048,0.028835013573143838
59,Ranolazine,7.0,0.2967597667063576,0.023366024129304972,0.3168573396595994,0.028945137055775068
60,Ranolazine,8.0,0.2970700604109695,0.02453207996715306,0.31506646388635207,0.027914776155894244
61,Ranolazine,12.0,0.29396633383451565,0.022091456542098768,0.31143761290388833,0.026905341849629272
62,Ranolazine,14.0,0.30137464799510255,0.02374845742884522,0.31296518355247804,0.028659455908778914
63,Ranolazine,24.0,0.31103699925915834,0.02294221218169403,0.316086355514336,0.025253465487868863
64,Verapamil HCL,-0.5,0.32361486245236243,0.019498092525179034,0.3151035343782598,0.022289503046655668
65,Verapamil HCL,0.5,0.30658028032573487,0.02184028120082701,0.3149722384569824,0.02605854437313944
66,Verapamil HCL,1.0,0.30677349224849226,0.02436441710549853,0.31960795497840216,0.025892057873931174
67,Verapamil HCL,1.5,0.30602912735412735,0.020414912621926514,0.3153946933583807,0.02906731066634014
68,Verapamil HCL,2.0,0.30892594572935483,0.023156823331017224,0.3185239491670082,0.023963000790386883
69,Verapamil HCL,2.5,0.29975469761719764,0.023560716901784236,0.31211359568352104,0.027084300779248005
70,Verapamil HCL,3.0,0.3022190462315462,0.021739597694493757,0.31224394435579145,0.02649919651558415
71,Verapamil HCL,3.5,0.2989464012418558,0.021818944550461444,0.30961031021658664,0.02945890040746387
72,Verapamil HCL,4.0,0.2987642361846907,0.022284726655665082,0.3104701239404975,0.02763561270155759
73,Verapamil HCL,5.0,0.3003303470098925,0.019132309891648575,0.30916828729929374,0.027798655777146145
74,Verapamil HCL,6.0,0.29626186246413516,0.01937061570423281,0.3144310999411536,0.025068648189196983
75,Verapamil HCL,7.0,0.2971821470616925,0.020949854824885764,0.3096811528442441,0.026336123749383114
76,Verapamil HCL,8.0,0.300769955969956,0.02340267996502474,0.31052965379329345,0.02370018958784913
77,Verapamil HCL,12.0,0.2974587868360596,0.018497565033757223,0.3076174935018165,0.02442268893417846
78,Verapamil HCL,14.0,0.30150695562854657,0.02193751715947402,0.30912197871601194,0.025072351646686305
79,Verapamil HCL,24.0,0.306951029568075,0.021938141612694657,0.3118415533268577,0.02427226336294226
